course_title,url,num_subscribers,price,score
Python for Beginners: Python Programming Language | Tutorial,https://www.udemy.com/python-course/,6153,150,0.5950877170509197
Python for Trading & Investing,https://www.udemy.com/python-for-trading-investing/,638,95,0.5163236006726174
Fun and creative web engineering with Python and Web2py,https://www.udemy.com/web-engineering-with-python-and-web2py/,10917,0,0.5074694340716069
Web Programming with Python,https://www.udemy.com/web-programming-with-python/,35267,50,0.5018075093913423
Complete Python Web Course: Build 8 Python Web Apps,https://www.udemy.com/the-complete-python-web-course-learn-by-building-8-apps/,7489,110,0.47960221298707656
